stateId,year,hdd
ID,1988,6829
ID,1987,6542
ID,1986,6805
ID,1985,8540
ID,1984,7963
ID,1983,7058
ID,1982,7764
ID,1981,6679
ID,1980,6960
ID,1979,7385
ID,1978,7209
ID,1977,7170
ID,1976,7417
ID,1975,7717
ID,1974,7103
ID,1973,7087
ID,1972,7425
ID,1971,7548
ID,1970,7291
ID,1969,7207
ID,1968,7246
ID,1967,7011
ID,1966,6913
ID,1965,7143
ID,1964,7880
ID,1963,6935
ID,1962,7255
ID,1961,7092
ID,1960,7411
WI,2022,7747
WI,2021,6934
WI,2020,7186
WI,2019,8025
WI,2018,7797
WI,2017,7096
WI,2016,6850
WI,2015,7214
WI,2014,8679
WI,2013,8189
WI,2012,6451
WI,2011,7523
WI,2010,7126
WI,2009,7891
WI,2008,8169
WI,2007,7301
WI,2006,6880
WI,2005,7319
WI,2004,7445
WI,2003,7748
WI,2002,7330
WI,2001,7032
WI,2000,7436
WI,1999,7071
WI,1998,6422
WI,1997,7899
WI,1996,8556
WI,1995,8057
WI,1994,7778
WI,1993,8122
WI,1992,7727
WI,1991,7545
WI,1990,7170
WI,1989,8365
WI,1988,7859
WI,1987,6857
WI,1986,7642
WI,1985,8198
WI,1984,7754
WI,1983,7874
WI,1982,8228
WI,1981,7646
WI,1980,8119
WI,1979,8590
WI,1978,8503
WI,1977,7918
WI,1976,8392
WI,1975,7850
WI,1974,7946
WI,1973,7317
WI,1972,8693
WI,1971,7986
WI,1970,8120
WI,1969,8207
WI,1968,7678
WI,1967,8265
WI,1966,8265
WI,1965,8128
WI,1964,7589
WI,1963,8215
WI,1962,8195
WI,1961,7815
WI,1960,8086
WV,2022,5190
WV,2021,4759
WV,2020,4665
WV,2019,4734
WV,2018,5109
WV,2017,4496
WV,2016,4747
WV,2015,4929
WV,2014,5616
WV,2013,5279
WV,2012,4532
WV,2011,4849
WV,2010,5451
WV,2009,5238
WV,2008,5269
WV,2007,4905
WV,2006,4819
WV,2005,5184
WV,2004,4965
WV,2003,5315
WV,2002,4958
WV,2001,4926
WV,2000,5256
WV,1999,4965
WV,1998,4496
WV,1997,5435
WV,1996,5604
WV,1995,5507
WV,1994,5305
WV,1993,5373
WV,1992,5323
WV,1991,4756
WV,1990,4492
WV,1989,5610
WV,1988,5695
WV,1987,5261
WV,1986,5130
WV,1985,5254
WV,1984,5318
WV,1983,5533
WV,1982,5256
WV,1981,5852
WV,1980,5833
WV,1979,5706
WV,1978,5999
WV,1977,5677
WV,1976,5811
WV,1975,5176
WV,1974,5107
WV,1973,5024
WV,1972,5471
WV,1971,5376
WV,1970,5439
WV,1969,5899
WV,1968,5803
WV,1967,5551
WV,1966,5866
WV,1965,5383
WV,1964,5388
WV,1963,5976
WV,1962,5694
WV,1961,5544
WV,1960,5903
WY,2022,8441
WY,2021,7865
WY,2020,8069
WY,2019,8906
WY,2018,8177
WY,2017,7895
WY,2016,7678
WY,2015,7583
WY,2014,8245
WY,2013,8516
WY,2012,7417
WY,2011,8645
WY,2010,8271
WY,2009,8630
WY,2008,8744
WY,2007,7995
WY,2006,7979
WY,2005,7964
WY,2004,8033
WY,2003,8021
WY,2002,8588
WY,2001,7988
WY,2000,8200
WY,1999,7834
WY,1998,8129
WY,1997,8555
WY,1996,8648
WY,1995,8409
WY,1994,7968
WY,1993,9251
WY,1992,8017
WY,1991,8381
WY,1990,8354
WY,1989,8579
WY,1988,8188
WY,1987,8088
WY,1986,8122
WY,1985,9262
WY,1984,9018
WY,1983,8766
